"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","who"
0.54,0.169,0.0589,0.523,0.00000134,0.431,0.44,"The Beatles"
0.654,0.172,0.0317,0.0205,0.00395,0.453,0.702,"The Beatles"
0.127,0.0573,0.0342,0.754,0.0000141,0.686,0.372,"The Beatles"
0.537,0.194,0.0254,0.594,0.0000192,0.599,0.946,"The Beatles"
0.727,0.232,0.0384,0.0000737,0.717,0.541,0.91,"The Beatles"
0.731,0.081,0.0559,0.0207,0.000464,0.523,0.81,"The Beatles"
0.831,0.811,0.0894,0.000606,0.846,0.166,0.281,"The Beatles"
0.529,0.174,0.0323,0.115,0.00396,0.517,0.362,"The Beatles"
0.613,0.0734,0.0931,0.0385,0.0000398,0.297,0.338,"The Beatles"
0.293,0.0936,0.0332,0.784,0.0106,0.698,0.724,"The Beatles"
0.556,0.589,0.0513,0.0828,0.000359,0.401,0.654,"The Beatles"
0.733,0.414,0.0256,0.306,0.000024,0.479,0.806,"The Beatles"
0.502,0.0713,0.178,0.336,0.000138,0.39,0.289,"The Beatles"
0.488,0.136,0.0316,0.212,0.026,0.651,0.49,"The Beatles"
0.515,0.389,0.0337,0.365,0,0.705,0.803,"The Beatles"
0.325,0.139,0.0283,0.0469,0,0.311,0.668,"The Beatles"
0.214,0.106,0.0337,0.944,0,0.381,0.393,"The Beatles"
0.457,0.922,0.0675,0.29,0.000106,0.364,0.175,"The Beatles"
0.28,0.305,0.0381,0.936,0.0000156,0.581,0.813,"The Beatles"
0.596,0.321,0.0749,0.0101,0,0.469,0.783,"The Beatles"
0.496,0.123,0.0468,0.719,0,0.77,0.571,"The Beatles"
0.351,0.115,0.0278,0.783,0,0.483,0.713,"The Beatles"
0.369,0.112,0.0379,0.183,0.00126,0.425,0.65,"The Beatles"
0.471,0.0712,0.0348,0.313,0.00000508,0.632,0.764,"The Beatles"
0.29,0.105,0.0341,0.652,0,0.578,0.666,"The Beatles"
0.624,0.128,0.0462,0.00797,0,0.534,0.687,"The Beatles"
0.435,0.113,0.0323,0.449,0,0.688,0.435,"The Beatles"
0.725,0.0994,0.0332,0.188,0,0.534,0.763,"The Beatles"
0.85,0.233,0.0678,0.0457,0,0.519,0.749,"The Beatles"
0.313,0.144,0.0366,0.789,0,0.689,0.625,"The Beatles"
0.49,0.103,0.038,0.488,0,0.74,0.678,"The Beatles"
0.583,0.119,0.038,0.412,0,0.652,0.744,"The Beatles"
0.331,0.0681,0.0337,0.64,0,0.767,0.636,"The Beatles"
0.677,0.321,0.0593,0.283,0,0.483,0.842,"The Beatles"
0.563,0.343,0.0298,0.207,0,0.416,0.9,"The Beatles"
0.829,0.227,0.0806,0.386,0.000062,0.52,0.744,"The Beatles"
0.349,0.38,0.0368,0.608,0,0.673,0.609,"The Beatles"
0.849,0.0414,0.0452,0.641,0.00000774,0.482,0.937,"The Beatles"
0.338,0.138,0.0304,0.198,0.00000262,0.396,0.377,"The Beatles"
0.673,0.797,0.0734,0.0857,0.00225,0.451,0.583,"The Beatles"
0.607,0.088,0.0261,0.0112,0.0000138,0.386,0.532,"The Beatles"
0.677,0.183,0.0298,0.0635,0,0.378,0.648,"The Beatles"
0.289,0.0928,0.0259,0.568,0.000829,0.593,0.733,"The Beatles"
0.777,0.215,0.0294,0.141,0.343,0.65,0.574,"The Beatles"
0.715,0.311,0.0476,0.386,0,0.49,0.866,"The Beatles"
0.782,0.125,0.0307,0.12,0.00000419,0.665,0.731,"The Beatles"
0.916,0.074,0.0481,0.26,0,0.377,0.912,"The Beatles"
0.565,0.0601,0.0336,0.635,0,0.608,0.835,"The Beatles"
0.48,0.0702,0.028,0.334,0,0.527,0.706,"The Beatles"
0.444,0.115,0.0289,0.257,0,0.682,0.91,"The Beatles"
0.489,0.0988,0.0455,0.277,0,0.601,0.638,"The Beatles"
0.487,0.138,0.0689,0.00101,0.285,0.647,0.222,"The Beatles"
0.247,0.0917,0.0383,0.921,0.00565,0.29,0.36,"The Beatles"
0.969,0.0608,0.0854,0.069,0.00022,0.48,0.494,"The Beatles"
0.801,0.0665,0.0361,0.27,0,0.491,0.971,"The Beatles"
