energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.658,0.135,170.462,0.136,0.312,1.5e-06,3,0.348,7,298933,-7.727,0.5,0,audio_features,spotify:track:2BHofa0kkJY7HV8Yxbgx0T
0.984,0.984,125.985,0.251,0.0306,0.0,4,0.584,4,274560,-5.57,0.363,1,audio_features,spotify:track:5tPGsnsuPrzbAMzUNWmx44
0.763,0.219,155.899,0.0371,0.141,0.0,4,0.564,4,227680,-6.706,0.863,1,audio_features,spotify:track:34DIwlo2i3s5Piug6nHzK9
0.564,0.204,115.975,0.0281,0.5,0.0,4,0.583,0,214387,-6.488,0.341,1,audio_features,spotify:track:3tiEGqbz4QWM3XwV2livG0
0.714,0.299,107.06,0.0381,0.49,1.18e-06,4,0.685,7,408640,-5.26,0.662,1,audio_features,spotify:track:4dxKwAjmZT9GRLhf4TQlK3
0.44,0.984,90.007,0.0479,0.109,0.0,4,0.577,7,259360,-8.545,0.227,0,audio_features,spotify:track:2LLMnnTph759xzyvnUqefm
0.545,0.73,78.627,0.543,0.1,0.0,4,0.515,10,324653,-8.765,0.477,1,audio_features,spotify:track:2W01qEZvwq4sGjje8RWSm4
0.517,0.981,136.962,0.066,0.139,0.0,3,0.459,0,452107,-8.576,0.493,1,audio_features,spotify:track:54FxYkqJZEEYSwNDemLigt
0.379,0.0796,113.245,0.0563,0.826,0.0,4,0.654,7,246747,-11.331,0.314,1,audio_features,spotify:track:6Lkqjj8WKpAnbfcMSI6u3Q
0.686,0.864,84.446,0.0376,0.358,0.0,4,0.628,7,362907,-6.633,0.474,1,audio_features,spotify:track:2PwlT72CyKMN2WzgCS4yUR
0.446,0.0988,155.18,0.108,0.545,7.49e-06,3,0.633,2,271227,-8.393,0.405,0,audio_features,spotify:track:345vfLn2QVIfN0cDWiaAzM
0.375,0.206,76.013,0.147,0.834,0.0,3,0.654,7,282800,-8.957,0.535,1,audio_features,spotify:track:0FfxAxOlgIUaemwaesR0V4
0.238,0.105,85.712,0.05,0.742,0.0,4,0.489,9,223040,-11.169,0.332,0,audio_features,spotify:track:4e1blN16IN1qvakljlKvUa
0.451,0.12,140.938,0.0384,0.893,1.66e-05,4,0.491,9,289507,-7.26,0.61,0,audio_features,spotify:track:36sFtd3RbkUDw1MALQz0vV
0.418,0.102,104.802,0.0297,0.907,0.000136,4,0.655,4,253053,-6.773,0.309,1,audio_features,spotify:track:1KPGUyKDgYzyXrd32icXmg
0.81,0.141,182.491,0.0761,0.205,0.000431,4,0.573,10,229133,-6.419,0.868,1,audio_features,spotify:track:17iXdEE3TrMzhaNifGmrgv
0.441,0.309,82.534,0.0772,0.518,0.0,3,0.674,9,305187,-7.039,0.194,1,audio_features,spotify:track:5xq9JrBQQ1r1bKx3P1QhB2
0.512,0.155,96.032,0.0455,0.649,3.22e-06,4,0.689,9,287413,-11.521,0.504,1,audio_features,spotify:track:1MT0Z24LifpPyEfxBN8ybR
0.526,0.309,204.784,0.0576,0.424,0.0,4,0.411,7,244493,-7.83,0.537,1,audio_features,spotify:track:7zJohXg6WkwH6qJklSbYud
0.652,0.0719,144.456,0.0319,0.24,0.000739,4,0.704,8,306080,-5.413,0.65,1,audio_features,spotify:track:0pFPpyFwDOQUyRW0qPNmNZ
0.324,0.0915,127.545,0.0322,0.798,2.66e-05,4,0.512,4,255333,-8.937,0.353,1,audio_features,spotify:track:6Wy3usruP6ZtAL7V0YNxBW
0.864,0.386,163.853,0.0514,0.689,2.46e-05,4,0.674,5,299107,-5.907,0.933,1,audio_features,spotify:track:2u5c1J9DcuzfKwgSkV9uTS
0.402,0.0938,96.006,0.0294,0.425,4.05e-05,4,0.762,11,283600,-9.756,0.413,1,audio_features,spotify:track:2tOOd984ggMSA8pd9U2nLd
